ampl.tab 2 1
gl	whp	qo
0.0	5.0	0.0
0.0	10.0	0.0
0.0	15.0	0.0
0.0	20.0	0.0
0.0	25.0	0.0
0.0	30.0	0.0
0.0	35.0	0.0
0.0	40.0	0.0
0.0	45.0	0.0
0.0	50.0	0.0
0.0	55.0	0.0
0.0	60.0	0.0
0.0	65.0	0.0
50000.0	5.0	280.479370117187
50000.0	10.0	264.763275146484
50000.0	15.0	248.810272216797
50000.0	20.0	234.589996337891
50000.0	25.0	220.661529541016
50000.0	30.0	206.743743896484
50000.0	35.0	193.115310668945
50000.0	40.0	179.794860839844
50000.0	45.0	166.810043334961
50000.0	50.0	149.117111206055
50000.0	55.0	130.025512695313
50000.0	60.0	102.495124816895
50000.0	65.0	66.875244140625
100000.0	5.0	297.907073974609
100000.0	10.0	287.061126708984
100000.0	15.0	275.897003173828
100000.0	20.0	264.412689208984
100000.0	25.0	251.899108886719
100000.0	30.0	240.558685302734
100000.0	35.0	229.174545288086
100000.0	40.0	217.723937988281
100000.0	45.0	206.031555175781
100000.0	50.0	194.361114501953
100000.0	55.0	182.749374389648
100000.0	60.0	171.238815307617
100000.0	65.0	159.878448486328
150000.0	5.0	302.317596435547
150000.0	10.0	292.951843261719
150000.0	15.0	283.497863769531
150000.0	20.0	273.757965087891
150000.0	25.0	263.904266357422
150000.0	30.0	253.050765991211
150000.0	35.0	243.058853149414
150000.0	40.0	233.10823059082
150000.0	45.0	223.153518676758
150000.0	50.0	212.546279907227
150000.0	55.0	201.742950439453
150000.0	60.0	190.860046386719
150000.0	65.0	179.957672119141
175000.0	5.0	303.491760253906
175000.0	10.0	294.50732421875
175000.0	15.0	285.395324707031
175000.0	20.0	275.979278564453
175000.0	25.0	266.336944580078
175000.0	30.0	256.130981445313
175000.0	35.0	246.303970336914
175000.0	40.0	236.835327148438
175000.0	45.0	227.196670532227
175000.0	50.0	217.384384155273
175000.0	55.0	207.114440917969
175000.0	60.0	196.712646484375
175000.0	65.0	186.153930664062
200000.0	5.0	304.279663085937
200000.0	10.0	295.605499267578
200000.0	15.0	286.739929199219
200000.0	20.0	277.627471923828
200000.0	25.0	268.266052246094
200000.0	30.0	258.503601074219
200000.0	35.0	248.399887084961
200000.0	40.0	239.163970947266
200000.0	45.0	229.826644897461
200000.0	50.0	220.446182250977
200000.0	55.0	210.467712402344
200000.0	60.0	200.327270507813
200000.0	65.0	190.072631835938
225000.0	5.0	304.809265136719
225000.0	10.0	296.393585205078
225000.0	15.0	287.705810546875
225000.0	20.0	278.82666015625
225000.0	25.0	269.671813964844
225000.0	30.0	260.188934326172
225000.0	35.0	250.05517578125
225000.0	40.0	240.921340942383
225000.0	45.0	231.679382324219
225000.0	50.0	222.505798339844
225000.0	55.0	212.665863037109
225000.0	60.0	202.67643737793
225000.0	65.0	192.561309814453
250000.0	5.0	305.146331787109
250000.0	10.0	296.974395751953
250000.0	15.0	288.44140625
250000.0	20.0	279.757781982422
250000.0	25.0	270.714447021484
250000.0	30.0	261.428649902344
250000.0	35.0	251.393600463867
250000.0	40.0	242.361770629883
250000.0	45.0	233.221298217773
250000.0	50.0	224.16227722168
250000.0	55.0	214.442977905273
250000.0	60.0	204.53645324707
250000.0	65.0	194.483001708984
275000.0	5.0	305.347808837891
275000.0	10.0	297.382598876953
275000.0	15.0	289.021270751953
275000.0	20.0	280.461547851562
275000.0	25.0	271.582092285156
275000.0	30.0	262.523956298828
275000.0	35.0	252.640502929688
275000.0	40.0	243.518798828125
275000.0	45.0	234.48713684082
275000.0	50.0	225.327011108398
275000.0	55.0	215.940948486328
275000.0	60.0	206.096374511719
275000.0	65.0	196.10383605957
300000.0	5.0	305.419158935547
300000.0	10.0	297.655822753906
300000.0	15.0	289.457458496094
300000.0	20.0	281.058441162109
300000.0	25.0	272.261566162109
300000.0	30.0	263.375274658203
300000.0	35.0	253.561889648438
300000.0	40.0	244.506942749023
300000.0	45.0	235.548233032227
300000.0	50.0	226.469100952148
300000.0	55.0	217.225158691406
300000.0	60.0	207.432800292969
300000.0	65.0	197.488006591797
325000.0	5.0	305.375762939453
325000.0	10.0	297.842254638672
325000.0	15.0	289.750854492188
325000.0	20.0	281.493835449219
325000.0	25.0	272.791168212891
325000.0	30.0	263.992950439453
325000.0	35.0	254.263092041016
325000.0	40.0	245.27946472168
325000.0	45.0	236.455596923828
325000.0	50.0	227.452774047852
325000.0	55.0	218.32373046875
325000.0	60.0	208.603057861328
325000.0	65.0	198.709564208984
