ampl.tab 2 1
gl	whp	qo
0.0	5.0	724.551513671875
0.0	10.0	611.968017578125
0.0	15.0	501.880645751953
0.0	20.0	0.0
0.0	25.0	0.0
0.0	30.0	0.0
0.0	40.0	0.0
0.0	45.0	0.0
0.0	50.0	0.0
0.0	55.0	0.0
0.0	60.0	0.0
0.0	65.0	0.0
0.0	70.0	0.0
50000.0	5.0	877.435974121094
50000.0	10.0	797.872375488281
50000.0	15.0	722.643432617187
50000.0	20.0	649.587890625
50000.0	25.0	578.417053222656
50000.0	30.0	509.882049560547
50000.0	40.0	384.463500976562
50000.0	45.0	327.676696777344
50000.0	50.0	0.0
50000.0	55.0	0.0
50000.0	60.0	0.0
50000.0	65.0	0.0
50000.0	70.0	0.0
100000.0	5.0	950.794067382813
100000.0	10.0	883.224365234375
100000.0	15.0	816.883056640625
100000.0	20.0	752.409057617187
100000.0	25.0	689.554077148438
100000.0	30.0	628.347839355469
100000.0	40.0	508.017242431641
100000.0	45.0	450.195098876953
100000.0	50.0	394.284088134766
100000.0	55.0	340.037628173828
100000.0	60.0	0.0
100000.0	65.0	0.0
100000.0	70.0	0.0
150000.0	5.0	990.672119140625
150000.0	10.0	929.34814453125
150000.0	15.0	868.140808105469
150000.0	20.0	808.157592773438
150000.0	25.0	749.205871582031
150000.0	30.0	691.158081054687
150000.0	40.0	578.236572265625
150000.0	45.0	522.126831054687
150000.0	50.0	466.652587890625
150000.0	55.0	413.533660888672
150000.0	60.0	362.177032470703
150000.0	65.0	311.474182128906
150000.0	70.0	0.0
175000.0	5.0	1005.29266357422
175000.0	10.0	946.682800292969
175000.0	15.0	887.330627441406
175000.0	20.0	828.936889648437
175000.0	25.0	771.50537109375
175000.0	30.0	714.756958007812
175000.0	40.0	603.658142089844
175000.0	45.0	549.2890625
175000.0	50.0	494.488433837891
175000.0	55.0	440.954162597656
175000.0	60.0	389.462738037109
175000.0	65.0	339.417877197266
175000.0	70.0	0.0
200000.0	5.0	1017.38568115234
200000.0	10.0	961.247253417969
200000.0	15.0	903.621398925781
200000.0	20.0	846.802307128906
200000.0	25.0	790.616882324219
200000.0	30.0	735.092163085938
200000.0	40.0	625.756164550781
200000.0	45.0	572.485778808594
200000.0	50.0	518.677368164063
200000.0	55.0	465.133209228516
200000.0	60.0	413.016387939453
200000.0	65.0	363.181915283203
200000.0	70.0	314.540283203125
225000.0	5.0	1027.08056640625
225000.0	10.0	973.599731445312
225000.0	15.0	917.63916015625
225000.0	20.0	862.057983398437
225000.0	25.0	807.132751464844
225000.0	30.0	752.614868164062
225000.0	40.0	644.997009277344
225000.0	45.0	592.283447265625
225000.0	50.0	539.963623046875
225000.0	55.0	487.068572998047
225000.0	60.0	434.570770263672
225000.0	65.0	383.803436279297
225000.0	70.0	334.981964111328
250000.0	5.0	1035.29968261719
250000.0	10.0	984.064147949219
250000.0	15.0	929.639587402344
250000.0	20.0	875.321044921875
250000.0	25.0	821.335144042969
250000.0	30.0	767.733215332031
250000.0	40.0	661.751770019531
250000.0	45.0	609.727355957031
250000.0	50.0	557.919311523438
250000.0	55.0	505.963928222656
250000.0	60.0	453.936340332031
250000.0	65.0	402.895965576172
250000.0	70.0	353.6953125
275000.0	5.0	1042.07373046875
275000.0	10.0	992.976135253906
275000.0	15.0	939.970581054687
275000.0	20.0	886.818542480469
275000.0	25.0	833.824035644531
275000.0	30.0	781.083129882813
275000.0	40.0	676.481201171875
275000.0	45.0	624.64794921875
275000.0	50.0	573.781860351562
275000.0	55.0	522.748901367187
275000.0	60.0	471.398620605469
275000.0	65.0	420.248992919922
275000.0	70.0	370.462982177734
300000.0	5.0	1047.62817382812
300000.0	10.0	1000.57873535156
300000.0	15.0	948.897155761719
300000.0	20.0	896.798828125
300000.0	25.0	844.773681640625
300000.0	30.0	792.841003417969
300000.0	40.0	689.493835449219
300000.0	45.0	638.166442871094
300000.0	50.0	587.910034179687
300000.0	55.0	537.255126953125
300000.0	60.0	486.548126220703
300000.0	65.0	435.818908691406
300000.0	70.0	385.982940673828
