ampl.tab 2 1
gl	whp	qo
0.0	5.0	0.0
0.0	6.0	0.0
0.0	7.0	0.0
0.0	8.0	0.0
0.0	9.0	0.0
0.0	10.0	0.0
0.0	12.0	0.0
0.0	14.0	0.0
0.0	16.0	0.0
0.0	20.0	0.0
0.0	25.0	0.0
0.0	30.0	0.0
0.0	40.0	0.0
0.0	50.0	0.0
0.0	60.0	0.0
30000.0	5.0	0.0
30000.0	6.0	0.0
30000.0	7.0	0.0
30000.0	8.0	0.0
30000.0	9.0	0.0
30000.0	10.0	0.0
30000.0	12.0	0.0
30000.0	14.0	0.0
30000.0	16.0	0.0
30000.0	20.0	0.0
30000.0	25.0	0.0
30000.0	30.0	0.0
30000.0	40.0	0.0
30000.0	50.0	0.0
30000.0	60.0	0.0
60000.0	5.0	305.246429443359
60000.0	6.0	236.595367431641
60000.0	7.0	167.441665649414
60000.0	8.0	96.097770690918
60000.0	9.0	0.0
60000.0	10.0	0.0
60000.0	12.0	0.0
60000.0	14.0	0.0
60000.0	16.0	0.0
60000.0	20.0	0.0
60000.0	25.0	0.0
60000.0	30.0	0.0
60000.0	40.0	0.0
60000.0	50.0	0.0
60000.0	60.0	0.0
80000.0	5.0	498.132141113281
80000.0	6.0	441.859252929687
80000.0	7.0	388.479339599609
80000.0	8.0	337.632080078125
80000.0	9.0	288.620941162109
80000.0	10.0	240.347198486328
80000.0	12.0	144.025634765625
80000.0	14.0	0.0
80000.0	16.0	0.0
80000.0	20.0	0.0
80000.0	25.0	0.0
80000.0	30.0	0.0
80000.0	40.0	0.0
80000.0	50.0	0.0
80000.0	60.0	0.0
100000.0	5.0	637.814514160156
100000.0	6.0	588.044860839844
100000.0	7.0	540.520141601563
100000.0	8.0	492.643981933594
100000.0	9.0	445.329376220703
100000.0	10.0	401.437561035156
100000.0	12.0	319.355895996094
100000.0	14.0	242.590362548828
100000.0	16.0	162.441558837891
100000.0	20.0	0.0
100000.0	25.0	0.0
100000.0	30.0	0.0
100000.0	40.0	0.0
100000.0	50.0	0.0
100000.0	60.0	0.0
120000.0	5.0	746.798461914063
120000.0	6.0	699.635070800781
120000.0	7.0	654.881286621094
120000.0	8.0	611.836853027344
120000.0	9.0	568.995483398438
120000.0	10.0	526.926940917969
120000.0	12.0	446.961761474609
120000.0	14.0	371.430694580078
120000.0	16.0	303.692626953125
120000.0	20.0	166.114715576172
120000.0	25.0	0.0
120000.0	30.0	0.0
120000.0	40.0	0.0
120000.0	50.0	0.0
120000.0	60.0	0.0
150000.0	5.0	827.048522949219
150000.0	6.0	800.585021972656
150000.0	7.0	772.657592773438
150000.0	8.0	743.678161621094
150000.0	9.0	710.407470703125
150000.0	10.0	673.122253417969
150000.0	12.0	596.144287109375
150000.0	14.0	523.139709472656
150000.0	16.0	454.671356201172
150000.0	20.0	330.258728027344
150000.0	25.0	178.575897216797
150000.0	30.0	0.0
150000.0	40.0	0.0
150000.0	50.0	0.0
150000.0	60.0	0.0
180000.0	5.0	868.456970214844
180000.0	6.0	845.093811035156
180000.0	7.0	820.888244628906
180000.0	8.0	796.924560546875
180000.0	9.0	771.49755859375
180000.0	10.0	745.927917480469
180000.0	12.0	693.891967773437
180000.0	14.0	640.969909667969
180000.0	16.0	578.163757324219
180000.0	20.0	451.651306152344
180000.0	25.0	307.817077636719
180000.0	30.0	169.391830444336
180000.0	40.0	0.0
180000.0	50.0	0.0
180000.0	60.0	0.0
210000.0	5.0	898.628784179687
210000.0	6.0	878.289367675781
210000.0	7.0	856.992248535156
210000.0	8.0	834.778442382813
210000.0	9.0	812.739074707031
210000.0	10.0	789.47802734375
210000.0	12.0	742.084350585938
210000.0	14.0	694.365112304687
210000.0	16.0	646.985046386719
210000.0	20.0	552.693420410156
210000.0	25.0	410.475219726562
210000.0	30.0	277.430786132813
210000.0	40.0	0.0
210000.0	50.0	0.0
210000.0	60.0	0.0
250000.0	5.0	927.493774414062
250000.0	6.0	910.418395996094
250000.0	7.0	891.538513183594
250000.0	8.0	872.243225097656
250000.0	9.0	852.229370117188
250000.0	10.0	831.670837402344
250000.0	12.0	790.451416015625
250000.0	14.0	747.805114746094
250000.0	16.0	704.321411132813
250000.0	20.0	616.968505859375
250000.0	25.0	506.377075195313
250000.0	30.0	394.198211669922
250000.0	40.0	144.729919433594
250000.0	50.0	0.0
250000.0	60.0	0.0
270000.0	5.0	938.345336914062
270000.0	6.0	922.367004394531
270000.0	7.0	904.961059570313
270000.0	8.0	886.674377441406
270000.0	9.0	867.917602539063
270000.0	10.0	848.759399414062
270000.0	12.0	809.998168945313
270000.0	14.0	769.008178710937
270000.0	16.0	727.396606445313
270000.0	20.0	642.642578125
270000.0	25.0	534.853149414062
270000.0	30.0	427.484191894531
270000.0	40.0	199.088668823242
270000.0	50.0	0.0
270000.0	60.0	0.0
290000.0	5.0	947.540283203125
290000.0	6.0	932.468933105469
290000.0	7.0	916.803833007813
290000.0	8.0	899.704223632813
290000.0	9.0	881.910339355469
290000.0	10.0	863.738525390625
290000.0	12.0	825.888732910156
290000.0	14.0	787.4619140625
290000.0	16.0	747.476257324219
290000.0	20.0	665.398620605469
290000.0	25.0	559.665893554688
290000.0	30.0	454.853881835937
290000.0	40.0	248.36116027832
290000.0	50.0	0.0
290000.0	60.0	0.0
300000.0	5.0	951.821533203125
300000.0	6.0	937.378234863281
300000.0	7.0	922.150817871094
300000.0	8.0	905.529602050781
300000.0	9.0	888.189758300781
300000.0	10.0	870.434387207031
300000.0	12.0	833.4052734375
300000.0	14.0	795.816955566406
300000.0	16.0	756.295288085938
300000.0	20.0	675.744750976563
300000.0	25.0	571.108337402344
300000.0	30.0	467.447601318359
300000.0	40.0	270.028900146484
300000.0	50.0	0.0
300000.0	60.0	0.0
