ampl.tab 2 1
gl	whp	qo
0.0	5.0	0.0
0.0	10.0	0.0
0.0	15.0	0.0
0.0	20.0	0.0
0.0	25.0	0.0
0.0	30.0	0.0
0.0	35.0	0.0
0.0	40.0	0.0
0.0	45.0	0.0
0.0	50.0	0.0
0.0	55.0	0.0
0.0	60.0	0.0
0.0	70.0	0.0
50000.0	5.0	68.6942672729492
50000.0	10.0	34.5824089050293
50000.0	15.0	0.0
50000.0	20.0	0.0
50000.0	25.0	0.0
50000.0	30.0	0.0
50000.0	35.0	0.0
50000.0	40.0	0.0
50000.0	45.0	0.0
50000.0	50.0	0.0
50000.0	55.0	0.0
50000.0	60.0	0.0
50000.0	70.0	0.0
100000.0	5.0	227.932525634766
100000.0	10.0	133.934173583984
100000.0	15.0	74.0659942626953
100000.0	20.0	40.9454307556152
100000.0	25.0	0.0
100000.0	30.0	0.0
100000.0	35.0	0.0
100000.0	40.0	0.0
100000.0	45.0	0.0
100000.0	50.0	0.0
100000.0	55.0	0.0
100000.0	60.0	0.0
100000.0	70.0	0.0
125000.0	5.0	242.434844970703
125000.0	10.0	172.753509521484
125000.0	15.0	115.536178588867
125000.0	20.0	68.0724639892578
125000.0	25.0	35.3386650085449
125000.0	30.0	0.0
125000.0	35.0	0.0
125000.0	40.0	0.0
125000.0	45.0	0.0
125000.0	50.0	0.0
125000.0	55.0	0.0
125000.0	60.0	0.0
125000.0	70.0	0.0
150000.0	5.0	252.107467651367
150000.0	10.0	181.935729980469
150000.0	15.0	127.563911437988
150000.0	20.0	90.0795059204102
150000.0	25.0	57.8077354431152
150000.0	30.0	0.0
150000.0	35.0	0.0
150000.0	40.0	0.0
150000.0	45.0	0.0
150000.0	50.0	0.0
150000.0	55.0	0.0
150000.0	60.0	0.0
150000.0	70.0	0.0
175000.0	5.0	258.220336914062
175000.0	10.0	188.598175048828
175000.0	15.0	133.89533996582
175000.0	20.0	95.3400650024414
175000.0	25.0	65.5848617553711
175000.0	30.0	40.721866607666
175000.0	35.0	0.0
175000.0	40.0	0.0
175000.0	45.0	0.0
175000.0	50.0	0.0
175000.0	55.0	0.0
175000.0	60.0	0.0
175000.0	70.0	0.0
200000.0	5.0	261.746368408203
200000.0	10.0	193.26448059082
200000.0	15.0	138.713668823242
200000.0	20.0	99.4152374267578
200000.0	25.0	68.156379699707
200000.0	30.0	42.564567565918
200000.0	35.0	0.0
200000.0	40.0	0.0
200000.0	45.0	0.0
200000.0	50.0	0.0
200000.0	55.0	0.0
200000.0	60.0	0.0
200000.0	70.0	0.0
225000.0	5.0	263.517425537109
225000.0	10.0	196.378662109375
225000.0	15.0	142.337615966797
225000.0	20.0	102.399185180664
225000.0	25.0	69.9140167236328
225000.0	30.0	43.0433959960938
225000.0	35.0	0.0
225000.0	40.0	0.0
225000.0	45.0	0.0
225000.0	50.0	0.0
225000.0	55.0	0.0
225000.0	60.0	0.0
225000.0	70.0	0.0
250000.0	5.0	263.711853027344
250000.0	10.0	198.20637512207
250000.0	15.0	144.931579589844
250000.0	20.0	104.434646606445
250000.0	25.0	70.8790740966797
250000.0	30.0	42.9049911499023
250000.0	35.0	0.0
250000.0	40.0	0.0
250000.0	45.0	0.0
250000.0	50.0	0.0
250000.0	55.0	0.0
250000.0	60.0	0.0
250000.0	70.0	0.0
275000.0	5.0	262.790374755859
275000.0	10.0	199.003280639648
275000.0	15.0	146.595169067383
275000.0	20.0	105.551063537598
275000.0	25.0	71.0157928466797
275000.0	30.0	42.3362426757812
275000.0	35.0	0.0
275000.0	40.0	0.0
275000.0	45.0	0.0
275000.0	50.0	0.0
275000.0	55.0	0.0
275000.0	60.0	0.0
275000.0	70.0	0.0
300000.0	5.0	260.88916015625
300000.0	10.0	198.842712402344
300000.0	15.0	147.441116333008
300000.0	20.0	105.807403564453
300000.0	25.0	70.4823455810547
300000.0	30.0	41.1850509643555
300000.0	35.0	0.0
300000.0	40.0	0.0
300000.0	45.0	0.0
300000.0	50.0	0.0
300000.0	55.0	0.0
300000.0	60.0	0.0
300000.0	70.0	0.0
