ampl.tab 2 1
gl	whp	qo
0.0	5.0	232.73112487793
0.0	10.0	198.268417358398
0.0	15.0	149.196090698242
0.0	20.0	0.0
0.0	25.0	0.0
0.0	30.0	0.0
0.0	35.0	0.0
0.0	40.0	0.0
0.0	45.0	0.0
0.0	50.0	0.0
0.0	55.0	0.0
0.0	60.0	0.0
0.0	65.0	0.0
0.0	70.0	0.0
0.0	75.0	0.0
50000.0	5.0	336.500640869141
50000.0	10.0	318.752197265625
50000.0	15.0	301.595916748047
50000.0	20.0	284.89501953125
50000.0	25.0	268.536285400391
50000.0	30.0	252.444381713867
50000.0	35.0	236.614974975586
50000.0	40.0	221.060272216797
50000.0	45.0	205.859115600586
50000.0	50.0	191.060394287109
50000.0	55.0	176.72021484375
50000.0	60.0	162.899826049805
50000.0	65.0	149.585479736328
50000.0	70.0	136.868087768555
50000.0	75.0	124.877029418945
100000.0	5.0	361.587707519531
100000.0	10.0	348.231872558594
100000.0	15.0	334.60888671875
100000.0	20.0	321.214569091797
100000.0	25.0	307.819488525391
100000.0	30.0	294.425445556641
100000.0	35.0	281.041015625
100000.0	40.0	267.664154052734
100000.0	45.0	254.313720703125
100000.0	50.0	241.013732910156
100000.0	55.0	227.823394775391
100000.0	60.0	214.787155151367
100000.0	65.0	201.938125610352
100000.0	70.0	189.328247070313
100000.0	75.0	176.999084472656
150000.0	5.0	370.210357666016
150000.0	10.0	358.998840332031
150000.0	15.0	347.573699951172
150000.0	20.0	336.238861083984
150000.0	25.0	324.969604492187
150000.0	30.0	313.439758300781
150000.0	35.0	301.661651611328
150000.0	40.0	289.751617431641
150000.0	45.0	277.756134033203
150000.0	50.0	265.699645996094
150000.0	55.0	253.587203979492
150000.0	60.0	241.501937866211
150000.0	65.0	229.436721801758
150000.0	70.0	217.43684387207
150000.0	75.0	205.545547485352
175000.0	5.0	372.198455810547
175000.0	10.0	361.776245117188
175000.0	15.0	350.890716552734
175000.0	20.0	339.988891601562
175000.0	25.0	329.191650390625
175000.0	30.0	318.47705078125
175000.0	35.0	307.573028564453
175000.0	40.0	296.4091796875
175000.0	45.0	285.017517089844
175000.0	50.0	273.458068847656
175000.0	55.0	261.802795410156
175000.0	60.0	250.118881225586
175000.0	65.0	238.441284179688
175000.0	70.0	226.768096923828
175000.0	75.0	215.143020629883
200000.0	5.0	373.185668945313
200000.0	10.0	363.461883544922
200000.0	15.0	353.117309570313
200000.0	20.0	342.635375976562
200000.0	25.0	332.142547607422
200000.0	30.0	321.743408203125
200000.0	35.0	311.319152832031
200000.0	40.0	300.821899414063
200000.0	45.0	290.116882324219
200000.0	50.0	279.199127197266
200000.0	55.0	268.077789306641
200000.0	60.0	256.824829101562
200000.0	65.0	245.496398925781
200000.0	70.0	234.150436401367
200000.0	75.0	222.798263549805
225000.0	5.0	373.690246582031
225000.0	10.0	364.392333984375
225000.0	15.0	354.378997802734
225000.0	20.0	344.276184082031
225000.0	25.0	334.159576416016
225000.0	30.0	324.081481933594
225000.0	35.0	313.914581298828
225000.0	40.0	303.687286376953
225000.0	45.0	293.401184082031
225000.0	50.0	283.018859863281
225000.0	55.0	272.427551269531
225000.0	60.0	261.680541992187
225000.0	65.0	250.80696105957
225000.0	70.0	239.854125976562
225000.0	75.0	228.817916870117
250000.0	5.0	373.926849365234
250000.0	10.0	365.016845703125
250000.0	15.0	355.207275390625
250000.0	20.0	345.275238037109
250000.0	25.0	335.420379638672
250000.0	30.0	325.594604492188
250000.0	35.0	315.711517333984
250000.0	40.0	305.719696044922
250000.0	45.0	295.630706787109
250000.0	50.0	285.468444824219
250000.0	55.0	275.215454101563
250000.0	60.0	264.890106201172
250000.0	65.0	254.417327880859
250000.0	70.0	243.836898803711
250000.0	75.0	233.167907714844
275000.0	5.0	373.919952392578
275000.0	10.0	365.389892578125
275000.0	15.0	355.782501220703
275000.0	20.0	346.010955810547
275000.0	25.0	336.298858642578
275000.0	30.0	326.600402832031
275000.0	35.0	316.864990234375
275000.0	40.0	307.057189941406
275000.0	45.0	297.170440673828
275000.0	50.0	287.187286376953
275000.0	55.0	277.086456298828
275000.0	60.0	266.938232421875
275000.0	65.0	256.739776611328
275000.0	70.0	246.473327636719
275000.0	75.0	236.106750488281
300000.0	5.0	373.709381103516
300000.0	10.0	365.572784423828
300000.0	15.0	356.1904296875
300000.0	20.0	346.619415283203
300000.0	25.0	336.913177490234
300000.0	30.0	327.368804931641
300000.0	35.0	317.741271972656
300000.0	40.0	308.038452148438
300000.0	45.0	298.252777099609
300000.0	50.0	288.378265380859
300000.0	55.0	278.431365966797
300000.0	60.0	268.418273925781
300000.0	65.0	258.320281982422
300000.0	70.0	248.162780761719
300000.0	75.0	237.944671630859
