ampl.tab 2 1
gl	whp	qo
0.0	5.0	2454.48071289062
0.0	10.0	2239.87036132813
0.0	20.0	1682.22180175781
0.0	30.0	1034.74291992187
0.0	40.0	108.748626708984
0.0	50.0	0.0
0.0	60.0	0.0
0.0	70.0	0.0
0.0	80.0	0.0
0.0	90.0	0.0
0.0	100.0	0.0
50000.0	5.0	2502.19873046875
50000.0	10.0	2359.560546875
50000.0	20.0	1978.58544921875
50000.0	30.0	1557.78637695313
50000.0	40.0	1157.13256835937
50000.0	50.0	809.064331054687
50000.0	60.0	526.848510742188
50000.0	70.0	343.052795410156
50000.0	80.0	230.677047729492
50000.0	90.0	159.185134887695
50000.0	100.0	110.673461914063
100000.0	5.0	2514.69995117187
100000.0	10.0	2410.70043945312
100000.0	20.0	2116.06298828125
100000.0	30.0	1775.80749511719
100000.0	40.0	1437.76977539062
100000.0	50.0	1122.98779296875
100000.0	60.0	849.384521484375
100000.0	70.0	623.256652832031
100000.0	80.0	434.037200927734
100000.0	90.0	305.249633789062
100000.0	100.0	214.728485107422
125000.0	5.0	2514.39868164063
125000.0	10.0	2423.76220703125
125000.0	20.0	2159.73095703125
125000.0	30.0	1847.52709960938
125000.0	40.0	1529.93286132812
125000.0	50.0	1228.51232910156
125000.0	60.0	957.969482421875
125000.0	70.0	727.462585449219
125000.0	80.0	530.731628417969
125000.0	90.0	376.046569824219
125000.0	100.0	266.4931640625
150000.0	5.0	2511.11352539063
150000.0	10.0	2431.24340820312
150000.0	20.0	2192.61645507813
150000.0	30.0	1904.25720214844
150000.0	40.0	1603.36340332031
150000.0	50.0	1314.29541015625
150000.0	60.0	1047.68493652344
150000.0	70.0	814.633056640625
150000.0	80.0	619.209350585937
150000.0	90.0	446.104675292969
150000.0	100.0	317.327606201172
175000.0	5.0	2505.57836914062
175000.0	10.0	2434.52368164062
175000.0	20.0	2217.34350585938
175000.0	30.0	1949.16906738281
175000.0	40.0	1663.37023925781
175000.0	50.0	1385.0966796875
175000.0	60.0	1123.42541503906
175000.0	70.0	889.502197265625
175000.0	80.0	688.857116699219
175000.0	90.0	512.405212402344
175000.0	100.0	367.486694335937
200000.0	5.0	2498.30859375
200000.0	10.0	2434.5693359375
200000.0	20.0	2235.73803710938
200000.0	30.0	1984.77990722656
200000.0	40.0	1713.33752441406
200000.0	50.0	1444.39416503906
200000.0	60.0	1188.26586914062
200000.0	70.0	954.681762695313
200000.0	80.0	750.239624023437
200000.0	90.0	576.970947265625
200000.0	100.0	416.368988037109
225000.0	5.0	2489.68237304687
225000.0	10.0	2432.08666992187
225000.0	20.0	2249.09448242187
225000.0	30.0	2013.46118164063
225000.0	40.0	1755.09240722656
225000.0	50.0	1494.44348144531
225000.0	60.0	1244.32470703125
225000.0	70.0	1011.80627441406
225000.0	80.0	804.990173339844
225000.0	90.0	626.782775878906
225000.0	100.0	463.394439697266
250000.0	5.0	2479.97778320312
250000.0	10.0	2427.59033203125
250000.0	20.0	2258.3974609375
250000.0	30.0	2036.48583984375
250000.0	40.0	1790.14916992187
250000.0	50.0	1537.11010742187
250000.0	60.0	1292.57983398438
250000.0	70.0	1062.05627441406
250000.0	80.0	854.08349609375
250000.0	90.0	672.022705078125
250000.0	100.0	509.884765625
275000.0	5.0	2469.42895507813
275000.0	10.0	2421.47680664063
275000.0	20.0	2264.38793945313
275000.0	30.0	2054.84619140625
275000.0	40.0	1819.462890625
275000.0	50.0	1573.96252441406
275000.0	60.0	1334.32495117188
275000.0	70.0	1106.43188476562
275000.0	80.0	897.947021484375
275000.0	90.0	713.122802734375
275000.0	100.0	553.127990722656
300000.0	5.0	2458.16430664062
300000.0	10.0	2414.05004882813
300000.0	20.0	2267.64013671875
300000.0	30.0	2069.30786132813
300000.0	40.0	1843.74108886719
300000.0	50.0	1605.82238769531
300000.0	60.0	1370.86083984375
300000.0	70.0	1146.02575683594
300000.0	80.0	937.255920410156
300000.0	90.0	750.466735839844
300000.0	100.0	586.75244140625
